TableHead,District,District_short_name,Positive Cases declared today,Declared Negative today,Positive cases admitted in the district,Positive,Negative,Admitted
District wise summary - 10/10/2021,Thiruvananthapuram,TVM,1197,1911,12213,1197,1911,12213
,Kollam,KLM,739,76,12100,739,76,12100
,Pathanamthitta,PTA,584,481,7165,584,481,7165
,Alappuzha,ALP,466,714,5099,466,714,5099
,Kottayam,KTM,872,846,4673,872,846,4673
, Idukki,IDK,558,680,6198,558,680,6198
,Ernakulam,EKM,1639,2762,16036,1639,2762,16036
,Thrissur,TSR,1378,1271,8539,1378,1271,8539
,Palakkad,PKD,575,750,7380,575,750,7380
,Malappuram,MPM,687,996,9119,687,996,9119
,Kozhikode,KKD,976,820,11009,976,820,11009
,Wayanad,WYD,263,474,3863,263,474,3863
,Kannur,KNR,602,668,6105,602,668,6105
,Kasaragod,KGD,155,206,1584,155,206,1584
